ident,male,latinx,af_am,white,oth_eth,gpa,sport,academic,alcohol,ses
2583454,0,1,0,0,0,6.5,0.000,1.609,1.386,-0.062
758606,1,0,0,1,0,8,1.099,0.693,0.693,-0.304
6918338,0,0,0,0,1,8,0.000,1.099,0.693,0.743
757890,1,0,0,1,0,5.75,0.000,0.000,0.693,1.288
4584594,0,0,0,1,0,8,1.099,0.693,0.000,0.321
858964,1,0,0,1,0,4.5,1.099,0.000,1.099,-0.244
7717064,1,1,0,0,0,4.25,0.693,0.693,1.946,-1.965
4571676,0,0,0,0,1,7.25,0.000,1.609,0.693,-0.436
4599465,0,0,0,1,0,7.5,1.609,1.099,1.099,-0.211
746387,1,0,1,0,0,3.25,0.693,0.000,2.079,-0.797
6875946,0,0,0,1,0,5.5,0.000,1.099,1.099,-1.387
743115,0,0,0,1,0,7.25,0.693,1.099,1.099,0.252
4674884,0,0,0,1,0,7.75,1.099,1.792,0.693,-0.294
747272,0,0,0,1,0,4.5,0.000,0.693,1.946,-0.120
7200481,0,0,0,0,1,6.75,0.000,1.386,0.000,1.549
758699,0,0,0,1,0,6.25,0.693,0.693,1.946,0.003
4665589,0,0,0,1,0,5.25,0.693,0.000,0.693,-0.295
6849411,1,0,0,1,0,5,0.693,1.099,1.386,0.554
4654020,0,0,0,1,0,7.5,0.693,1.386,0.693,0.871
6806090,1,0,0,1,0,4.25,0.000,0.693,1.099,-1.308
8478196,0,0,0,1,0,6.5,1.386,1.099,1.609,1.887
2513381,1,0,0,1,0,7,0.000,0.000,0.000,-0.707
7807709,0,0,0,1,0,8,0.693,1.386,0.000,-0.024
2527088,1,0,0,1,0,5.5,0.000,1.609,1.099,-0.083
4501985,1,0,0,1,0,4.5,0.000,0.000,0.000,-0.221
4557654,1,0,0,0,1,7,1.099,0.693,0.693,0.786
6818001,0,0,1,0,0,6.5,1.386,0.693,0.000,-0.833
742725,1,0,0,1,0,4.25,0.000,0.693,0.000,-0.335
780329,0,0,0,1,0,5.5,0.000,1.099,0.693,0.481
7755263,1,0,0,1,0,8,1.099,1.099,0.693,0.874
7835689,1,0,0,1,0,7.25,0.000,1.099,1.099,-0.094
7808145,1,0,0,1,0,7.25,1.099,1.609,1.099,-0.533
4536620,0,0,0,1,0,4.75,0.000,1.099,1.099,0.093
7769341,1,0,0,1,0,8,0.693,1.609,0.000,0.626
725315,1,0,0,1,0,3.5,0.693,0.000,1.792,-0.077
2442025,0,0,0,1,0,4.5,0.000,0.693,1.609,0.176
7221305,1,0,0,1,0,5.5,0.693,0.000,1.946,0.103
6840131,0,0,0,0,1,4.5,0.000,1.386,0.693,-0.205
6844992,0,0,0,1,0,7,0.000,1.386,1.099,-0.407
7806073,0,0,0,1,0,5.5,1.099,0.693,1.386,0.176
6816256,0,0,0,1,0,5,1.386,0.000,0.693,-1.438
6872735,0,0,0,1,0,5.25,1.386,0.000,0.000,-0.097
7814813,1,0,0,1,0,8,0.693,1.609,0.000,0.353
7090340,1,0,0,1,0,4.5,0.000,1.099,1.386,0.776
1477055,1,0,0,1,0,5,0.693,0.000,1.946,-0.123
2447467,0,0,0,1,0,8.25,1.099,0.000,0.000,-0.871
4503617,0,0,0,1,0,6,0.693,0.693,1.609,0.487
704260,1,0,0,1,0,3,1.386,0.000,1.609,-0.065
4585139,1,0,0,1,0,8,1.099,0.693,2.197,1.398
7873590,1,0,0,1,0,8,1.609,0.000,1.386,0.476
8477477,0,0,0,1,0,6,0.000,1.609,1.099,1.709
7810112,0,0,0,1,0,7.75,1.099,0.693,1.099,0.559
6852053,0,0,0,0,1,5.5,0.693,0.000,0.000,-0.203
4611918,0,0,0,1,0,4.5,0.000,0.693,1.386,-0.621
6826593,1,0,0,1,0,5.5,0.000,1.099,1.099,-0.742
793368,0,0,0,1,0,5,0.693,1.386,1.792,0.154
6865124,1,0,0,0,1,4.75,0.000,0.693,0.693,0.743
6259645,0,0,0,1,0,7.5,0.000,1.609,1.609,1.608
7276165,0,0,0,1,0,7,0.000,1.099,0.000,1.571
782900,0,0,1,0,0,5.5,0.000,0.000,1.099,-1.346
4580596,1,0,0,1,0,6.25,0.693,0.693,0.693,0.261
2526755,1,0,0,1,0,7,0.000,0.000,1.946,0.930
2540487,1,0,1,0,0,6.75,1.099,1.099,1.099,-0.663
7841160,1,0,0,1,0,8,0.000,1.099,0.000,1.315
793064,0,0,0,0,1,5.25,0.693,0.000,1.099,-0.816
7210813,0,0,0,1,0,6,1.099,1.609,0.693,0.256
2416397,0,0,1,0,0,5.75,1.099,1.609,0.000,-1.129
7293958,0,0,0,1,0,6,1.099,0.000,0.693,0.737
632790,1,0,0,1,0,7.25,1.099,0.693,0.000,1.220
6865269,0,0,0,1,0,7,0.693,1.099,0.693,-0.041
6840189,0,0,0,1,0,4.5,0.000,0.000,0.000,-0.760
7720407,0,0,0,1,0,6.75,0.693,0.693,1.609,1.111
2532871,1,0,0,1,0,7,0.693,0.000,1.792,1.031
7821360,1,0,0,0,1,7.5,1.609,1.386,0.693,-0.348
7273037,0,0,0,1,0,7.5,0.000,0.000,0.693,-1.223
710953,0,0,0,1,0,3.75,0.000,1.609,1.386,-0.621
4571613,1,0,0,0,1,5,0.000,0.000,1.099,-1.240
6860266,0,0,0,1,0,6.25,0.000,0.000,1.099,0.434
896875,0,1,0,0,0,4,0.693,1.386,1.099,-0.350
7258012,1,0,0,1,0,6.25,0.000,1.099,2.079,-0.338
7769331,0,0,0,1,0,4.5,0.000,0.000,1.609,1.259
6236097,1,0,0,1,0,6,1.386,1.099,0.000,1.554
605318,1,0,0,1,0,5.75,0.000,0.000,0.000,-0.184
