id,educate,american,group
1030,14,2.0000005,Not immigrant
1059,14,14.000001,Not immigrant
1076,10,20,Not immigrant
1079,16,10,Not immigrant
1084,14,12.5,Not immigrant
1092,14,26.666668,Not immigrant
1102,12,3.9999998,Not immigrant
1110,14,3.9999998,Not immigrant
1115,16,12.5,Not immigrant
1117,16,13.333332,Not immigrant
1121,14,17.5,Not immigrant
1123,20,17.5,Not immigrant
1125,12,12.5,Not immigrant
1133,20,14.000001,Not immigrant
1134,14,25,Not immigrant
1140,14,15,Not immigrant
1143,12,10,Not immigrant
1148,20,10,Not immigrant
1166,18,15,Not immigrant
1168,12,10,Not immigrant
1174,20,10,Not immigrant
1193,14,7.9999995,Not immigrant
1201,14,0,Not immigrant
1225,12,7.5,Not immigrant
1230,10,15,Not immigrant
1233,12,26.666668,Not immigrant
1235,14,2.0000005,Not immigrant
1240,20,17.5,Not immigrant
1241,14,6.666666,Not immigrant
1245,12,6,Not immigrant
1265,12,7.5,Not immigrant
1267,20,15,Not immigrant
1270,12,26.666668,Not immigrant
1271,12,15,Not immigrant
1283,10,7.5,Not immigrant
1284,14,14.000001,Not immigrant
1287,10,13.333332,Not immigrant
1288,14,12,Not immigrant
1292,14,12,Not immigrant
1296,12,3.3333337,Not immigrant
1300,14,18.333332,Not immigrant
1302,16,10,Not immigrant
1303,10,13.333332,Not immigrant
1324,12,0,Not immigrant
1328,12,1.6666663,Not immigrant
1343,16,14.000001,Not immigrant
1347,14,12.5,Not immigrant
1349,20,17.5,Not immigrant
1369,12,8.333334,Not immigrant
1371,14,15.999999,Not immigrant
1393,14,15,Not immigrant
1414,16,22.5,Not immigrant
1419,14,10,Not immigrant
1424,14,23.333332,Not immigrant
1426,20,15,Not immigrant
1429,14,12,Not immigrant
1453,18,10,Not immigrant
1468,10,18.333332,Not immigrant
1478,20,22,Not immigrant
1482,14,18,Not immigrant
1484,14,10,Not immigrant
1490,14,17.5,Not immigrant
1503,16,7.5,Not immigrant
1505,20,14.000001,Not immigrant
1506,12,12,Not immigrant
1508,16,6.666666,Not immigrant
1509,14,18,Not immigrant
1511,20,10,Not immigrant
1516,12,6.666666,Not immigrant
1518,16,12.5,Not immigrant
1521,10,3.3333337,Not immigrant
1528,14,12.5,Not immigrant
1541,14,7.9999995,Not immigrant
1553,16,15,Not immigrant
1568,12,6,Not immigrant
1586,12,7.9999995,Not immigrant
1595,13,10,Not immigrant
