"caseid","season","holiday","workday","weather","temperature","humidity","windspeed","casual","registered","rentals"
1,1,1,1,2,14.1108465194702,80.5832977294922,10.7498817443848,331,654,985
2,1,1,1,2,14.9025983810425,69.6087036132812,16.6521129608154,131,670,801
3,1,1,0,1,8.05092430114746,43.7272987365723,16.6367034912109,120,1229,1349
4,1,1,0,1,8.19999980926514,59.0435028076172,10.7398319244385,108,1454,1562
5,1,1,0,1,9.30523681640625,43.6957015991211,12.5223007202148,82,1518,1600
6,1,1,0,1,8.37826824188232,51.8261032104492,6.00086879730225,88,1518,1606
7,1,1,0,2,8.05740165710449,49.8695983886719,11.3046417236328,148,1362,1510
8,1,1,1,2,6.76500034332275,53.5833015441895,17.8758678436279,68,891,959
9,1,1,1,1,5.67165279388428,43.4166984558105,24.2506504058838,54,768,822
10,1,1,0,1,6.18415260314941,48.2917022705078,14.9588890075684,41,1280,1321
11,1,1,0,2,6.93273115158081,68.6363983154297,8.1828441619873,43,1220,1263
12,1,1,0,1,7.08180713653564,59.9544982910156,20.4100093841553,25,1137,1162
13,1,1,0,1,6.76500034332275,47.0416984558105,20.1669998168945,38,1368,1406
14,1,1,0,1,6.59567022323608,53.782600402832,8.47871685028076,54,1367,1421
15,1,1,1,2,9.56665325164795,49.875,10.5835208892822,222,1026,1248
16,1,1,1,1,9.49834728240967,48.375,12.6250114440918,251,953,1204
17,1,0,1,2,7.209153175354,53.7500038146973,12.9991388320923,117,883,1000
18,1,1,0,2,8.88334655761719,86.1666946411133,9.83392524719238,9,674,683
19,1,1,0,2,11.9791345596313,74.1738967895508,13.957239151001,78,1572,1650
20,1,1,0,2,10.7283477783203,53.8333015441895,13.1255683898926,83,1844,1927
21,1,1,0,1,7.27749967575073,45.7082977294922,23.66721534729,75,1468,1543
22,1,1,1,1,2.42434644699097,40,11.5219898223877,93,888,981
23,1,1,1,1,3.95738959312439,43.6521987915039,16.5221996307373,150,836,986
24,1,1,0,1,3.9930431842804,49.173900604248,10.6081094741821,86,1330,1416
25,1,1,0,2,9.16259860992432,61.6957015991211,8.69633197784424,186,1799,1985
26,1,1,0,3,8.91750049591064,86.25,19.6879501342773,34,472,506
27,1,1,0,1,7.99499988555908,68.75,7.62707901000977,15,416,431
28,1,1,0,2,8.34259796142578,79.3042984008789,8.26109981536865,38,1129,1167
29,1,1,1,1,8.05740165710449,65.1738967895508,9.7394552230835,123,975,1098
30,1,1,1,1,8.87740135192871,72.217399597168,4.9568338394165,140,956,1096
31,1,1,0,2,7.41415309906006,60.375,12.5418634414673,42,1459,1501
32,1,1,0,2,7.87913417816162,82.9564971923828,3.56527090072632,47,1313,1360
33,1,1,0,2,10.6599998474121,77.5416946411133,17.7086372375488,72,1454,1526
34,1,1,0,1,7.66523694992065,43.782600402832,18.6093845367432,61,1489,1550
35,1,1,0,2,8.6634635925293,58.5216979980469,8.56521320343018,88,1620,1708
36,1,1,1,2,9.56665325164795,92.9166946411133,10.792293548584,100,905,1005
37,1,1,1,1,11.7191534042358,56.8333015441895,9.50059986114502,354,1269,1623
38,1,1,0,1,11.1383476257324,73.8332977294922,3.04235625267029,120,1592,1712
39,1,1,0,1,9.05415344238281,53.7917022705078,24.2506504058838,64,1466,1530
40,1,1,0,2,5.52610301971436,49.4783020019531,12.6522130966187,53,1552,1605
41,1,1,0,1,5.91826772689819,43.7391014099121,14.8696451187134,47,1491,1538
42,1,1,0,1,7.75273084640503,50.6363983154297,7.27285003662109,149,1597,1746
43,1,1,1,1,9.12249946594238,54.4166984558105,13.6255884170532,288,1184,1472
44,1,1,1,1,12.9774017333984,45.7390975952148,17.4791603088379,397,1192,1589
45,1,1,0,1,17.0149993896484,37.5833015441895,27.9998359680176,208,1705,1913
46,1,1,0,1,10.9095668792725,31.4348011016846,19.5220584869385,140,1675,1815
47,1,1,0,1,13.0487012863159,42.3478012084961,16.8699970245361,218,1897,2115
48,1,1,0,1,17.8691539764404,50.5,15.4169683456421,259,2216,2475
49,1,1,0,1,21.3883476257324,51.6667022705078,17.7499752044678,579,2348,2927
50,1,1,1,1,16.3658466339111,18.7916984558105,34.0000190734863,532,1103,1635
51,1,1,1,1,11.6938962936401,40.782600402832,14.9567451477051,639,1173,1812
52,1,0,1,2,12.436653137207,60.5,20.6256828308105,195,912,1107
53,1,1,0,1,7.47110176086426,57.7777976989746,13.1107616424561,74,1376,1450
54,1,1,0,1,9.09129905700684,42.3043022155762,6.30557107925415,139,1778,1917
55,1,1,0,2,12.1217317581177,69.7390975952148,16.7832317352295,100,1707,1807
56,1,1,0,2,14.9382677078247,71.217399597168,23.2181129455566,120,1341,1461
57,1,1,1,1,11.5824995040894,53.7917022705078,12.5002574920654,424,1545,1969
58,1,1,1,1,14.0825977325439,68,8.39161586761475,694,1708,2402
59,1,1,0,2,16.6981925964355,87.6363983154297,19.4089622497559,81,1365,1446
60,1,1,0,1,10.9333477020264,53.5000038146973,14.5004749298096,137,1714,1851
61,1,1,0,1,13.7350006103516,44.9582977294922,20.6248092651367,231,1903,2134
62,1,1,0,1,8.13165283203125,31.8332996368408,15.1255178451538,123,1562,1685
63,1,1,0,2,10.7283477783203,61.0417022705078,13.6241817474365,214,1730,1944
64,1,1,1,2,15.750846862793,78.9167022705078,16.8753566741943,640,1437,2077
65,1,1,1,2,15.4374017715454,94.8261032104492,23.0002288818359,114,491,605
66,1,1,0,1,10.7312984466553,55.1303977966309,22.8705825805664,244,1628,1872
67,1,1,0,1,11.9924993515015,42.0832977294922,8.08355045318604,316,1817,2133
68,1,1,0,2,12.1291522979736,77.5416946411133,14.7500495910645,191,1700,1891
69,1,1,0,3,15.9527320861816,0,17.5457592010498,46,577,623
70,1,1,0,2,12.9774017333984,64.9564971923828,15.6089897155762,247,1730,1977
71,1,1,1,1,13.4958477020264,59.4582977294922,14.7919244766235,724,1408,2132
72,1,1,1,1,15.7582683563232,52.7391014099121,18.1304683685303,982,1435,2417
73,1,1,0,1,13.3338975906372,49.6957015991211,9.17404174804688,359,1687,2046
74,1,1,0,2,13.0130310058594,65.5652008056641,12.3487033843994,289,1767,2056
75,1,1,0,2,14.9738969802856,77.6521987915039,13.6088390350342,321,1871,2192
76,1,1,0,1,17.0149993896484,60.2917022705078,14.0417938232422,424,2320,2744
77,1,1,0,1,22.1400012969971,52.5216979980469,15.478138923645,884,2355,3239
78,1,1,1,1,19.3724994659424,37.9166984558105,24.6671905517578,1424,1693,3117
79,1,1,1,1,13.6325006484985,47.375,13.9173069000244,1047,1424,2471
80,2,1,0,2,17.647834777832,73.7390975952148,19.348461151123,401,1676,2077
81,2,1,0,1,18.1083469390869,62.4583015441895,15.1252498626709,460,2243,2703
82,2,1,0,2,14.2252368927002,83.9564971923828,15.6954870223999,203,1918,2121
83,2,1,0,2,11.6849994659424,80.5832977294922,16.3337287902832,166,1699,1865
84,2,1,0,1,10.8308477401733,49.5,15.4585752487183,300,1910,2210
85,2,1,1,1,10.8991527557373,39.4167022705078,14.0412569046021,981,1515,2496
86,2,1,1,2,10.3747625350952,49.391300201416,12.3481006622314,472,1221,1693
87,2,1,0,1,10.8382682800293,30.217399597168,14.2176675796509,222,1806,2028
88,2,1,0,1,12.4025001525879,31.4166984558105,15.2087326049805,317,2108,2425
89,2,1,0,2,12.3000001907349,64.6667022705078,11.58349609375,168,1368,1536
90,2,1,0,3,11.0016527175903,91.8332977294922,14.5822820663452,179,1506,1685
91,2,1,0,2,12.3000001907349,68.625,17.3334350585938,307,1920,2227
92,2,1,1,2,12.914999961853,65.375,13.2087821960449,898,1354,2252
93,2,1,1,1,15.5116529464722,48,12.2082710266113,1651,1598,3249
94,2,1,0,1,23.5066547393799,42.625,25.8332576751709,734,2381,3115
95,2,1,0,2,16.9808464050293,64.2082977294922,26.0004901885986,167,1628,1795
96,2,1,0,1,16.0241527557373,47.0833015441895,17.6252212524414,413,2395,2808
97,2,1,0,1,17.9375,60.2917022705078,10.874903678894,571,2570,3141
98,2,1,0,2,13.7691535949707,83.625,15.2084636688232,172,1299,1471
99,2,1,1,2,14.0425004959106,87.75,8.91656112670898,879,1576,2455
