"id","female","age","cohort","race","latinx","ethnic","educate","childs","marital","sei","occprest","attend","relig","fund","owngun","legalmarij","cappunish","partyaff","polviews","spanking","lifesatis","volunteer","confidence","civliberty","watchtv","pincome","fincome"
1,"male",43,1975,"White","no","White",14,0,4,65.3,47,5,1,"moderate","no",NA,"yes",6,6,2,NA,1,0,12,3,110,110
2,"female",74,1944,"White","no","White",10,3,3,14.8,22,2,2,"moderate","no","no","no",3,4,NA,87.91,1,10,11,NA,0,120
3,"male",42,1976,"White","yes","Latinx",16,2,1,83.4,61,2,6,"liberal","no","yes","yes",5,5,2,NA,1,3,0,1,220,120
4,"female",63,1955,"White","no","White",16,2,1,69.3,59,6,1,"liberal","no","no","no",3,4,3,78.23,3,3,0,1,230,130
5,"male",71,1947,"AfricanAmerican","no","AfricanAmerican",18,0,3,68.6,53,8,2,"moderate","yes","no","no",7,7,NA,77.39,3,7,12,NA,0,100
6,"female",67,1951,"White","no","White",16,2,2,69.3,53,4,2,"moderate","yes",NA,"yes",3,3,3,NA,1,1,12,8,0,100
7,"female",59,1959,"AfricanAmerican","no","AfricanAmerican",13,6,3,24.2,48,7,1,"fundamentalist","no","yes","yes",1,4,NA,72.31,3,4,10,NA,120,100
8,"male",43,1975,"White","no","White",12,0,4,23.7,35,7,2,"moderate","no","yes","yes",6,5,NA,80.96,1,2,6,NA,170,120
9,"female",62,1956,"White","no","White",8,4,2,21.8,35,0,6,"liberal","no","yes","yes",4,4,1,NA,1,1,0,4,20,50
10,"male",55,1963,"White","no","White",12,2,1,57.1,39,2,1,"liberal","no","yes","yes",2,4,2,71.21,2,4,0,2,220,120
11,"male",59,1959,"White","no","White",19,2,3,77.4,72,4,2,"moderate","yes",NA,"yes",7,6,3,NA,1,4,12,3,230,120
12,"female",34,1984,"other","yes","Latinx",14,3,3,31.6,35,5,1,"moderate","no","no","yes",2,4,NA,63.42,2,1,0,3,120,110
13,"female",61,1957,"White","no","White",13,2,3,59.8,45,0,2,"moderate","no",NA,"yes",2,4,3,NA,1,1,5,7,0,110
14,"male",44,1974,"AfricanAmerican","no","AfricanAmerican",16,2,1,86.6,72,3,2,"moderate","no","yes","yes",1,3,NA,70.09,2,3,4,NA,220,120
15,"female",41,1977,"AfricanAmerican","no","AfricanAmerican",12,2,4,21.6,28,0,6,"liberal","no","yes","yes",5,2,3,NA,1,3,0,7,0,20
16,"female",75,1943,"White","no","White",12,4,2,73.9,53,7,2,"moderate","no",NA,"no",4,5,2,NA,1,1,9,5,90,120
17,"female",55,1963,"White","no","White",16,0,1,84.2,64,1,6,"liberal","no","yes","no",3,2,3,49.51,2,0,0,3,200,120
18,"female",30,1988,"White","no","White",16,2,1,48.18,45,0,4,"none","no",NA,"no",4,6,3,NA,1,3,3,1,0,120
19,"female",40,1978,"White","no","White",20,2,3,82.5,64,4,1,"moderate","no","no","yes",2,2,NA,71.63,5,2,11,NA,200,120
20,"male",30,1988,"White","no","White",18,0,4,43,38,5,2,"moderate","no","yes","yes",5,4,3,70.4,1,3,0,0,120,110
