idcomm,id,male,white,married,age,educate,income,commlength,commtrust,trust,pop2020,relighomog,disadvantage
25,10001,female,white,no,42,5,2,42,0.349,not_high,917,0.277,-1.219
25,10004,female,white,yes,68,3,4,50,-0.434,not_high,917,0.277,-1.219
25,10005,male,white,yes,58,3,3,50,-1.546,not_high,917,0.277,-1.219
25,10008,female,white,no,37,5,2,5,-0.707,not_high,917,0.277,-1.219
25,10009,male,white,yes,64,4,8,30,-0.264,not_high,917,0.277,-1.219
25,10012,female,white,no,69,3,3,69,0.465,not_high,917,0.277,-1.219
25,10013,male,white,yes,33,3,6,9,-0.596,not_high,917,0.277,-1.219
25,10015,female,white,no,74,6,3,30,0.528,not_high,917,0.277,-1.219
25,10016,male,white,yes,41,6,7,11,0.439,not_high,917,0.277,-1.219
25,10017,female,white,no,47,3,2,8,-0.097,not_high,917,0.277,-1.219
25,10020,female,white,yes,41,3,4,30,-1.390,not_high,917,0.277,-1.219
25,10022,male,white,yes,56,4,4,5,-0.879,not_high,917,0.277,-1.219
25,10026,female,white,yes,33,6,6,2,1.430,high,917,0.277,-1.219
25,10028,female,white,yes,71,3,7,71,0.119,not_high,917,0.277,-1.219
25,10029,female,white,yes,58,4,6,25,0.030,not_high,917,0.277,-1.219
25,10030,female,white,yes,47,3,8,2,0.377,not_high,917,0.277,-1.219
25,10032,female,white,yes,42,4,4,19,0.004,not_high,917,0.277,-1.219
25,10033,male,white,yes,61,7,4,4,0.377,not_high,917,0.277,-1.219
25,10034,female,white,yes,59,3,4,33,0.879,not_high,917,0.277,-1.219
25,10036,female,white,no,82,3,0,27,-0.944,not_high,917,0.277,-1.219
25,10041,female,white,no,27,5,3,1,-2.560,not_high,917,0.277,-1.219
25,10042,female,white,no,59,3,3,10,-1.873,not_high,917,0.277,-1.219
25,10044,female,white,yes,62,4,6,40,-0.219,not_high,917,0.277,-1.219
25,10045,male,white,yes,50,5,4,2,1.098,high,917,0.277,-1.219
25,10046,male,nonwhite,yes,34,4,2,13,0.909,not_high,917,0.277,-1.219
25,10047,female,white,yes,43,6,2,20,-0.394,not_high,917,0.277,-1.219
25,10048,male,white,yes,81,3,2,38,0.901,not_high,917,0.277,-1.219
25,10049,male,white,yes,67,3,5,27,1.318,high,917,0.277,-1.219
25,10050,female,white,no,40,4,2,10,-1.044,not_high,917,0.277,-1.219
25,10051,female,white,yes,33,5,8,2,1.544,high,917,0.277,-1.219
25,10053,male,white,yes,50,5,6,16,-1.583,not_high,917,0.277,-1.219
25,10054,female,white,yes,58,3,2,3,-0.367,not_high,917,0.277,-1.219
25,10056,male,white,yes,68,3,5,23,-0.743,not_high,917,0.277,-1.219
25,10057,male,white,yes,67,6,3,33,1.868,high,917,0.277,-1.219
25,10058,female,white,no,85,4,2,66,0.876,not_high,917,0.277,-1.219
25,10059,female,white,no,71,3,1,24,-1.364,not_high,917,0.277,-1.219
25,10061,male,white,no,63,3,0,54,-0.177,not_high,917,0.277,-1.219
25,10062,female,white,yes,76,3,1,75,-0.175,not_high,917,0.277,-1.219
25,10063,female,white,yes,36,6,4,6,0.345,not_high,917,0.277,-1.219
25,10064,female,white,yes,53,7,1,32,0.406,not_high,917,0.277,-1.219
25,10065,male,white,yes,44,7,8,10,1.325,high,917,0.277,-1.219
25,10066,female,white,yes,76,4,3,33,-0.804,not_high,917,0.277,-1.219
25,10067,female,white,yes,44,4,5,40,0.660,not_high,917,0.277,-1.219
25,10068,female,white,yes,65,4,5,11,-0.264,not_high,917,0.277,-1.219
25,10070,female,white,no,29,5,5,20,-1.004,not_high,917,0.277,-1.219
25,10073,male,white,yes,80,4,8,54,0.233,not_high,917,0.277,-1.219
25,10074,female,white,yes,68,3,2,38,-1.226,not_high,917,0.277,-1.219
25,10077,female,white,yes,29,5,4,24,-0.859,not_high,917,0.277,-1.219
25,10079,male,white,yes,66,3,3,35,0.067,not_high,917,0.277,-1.219
25,10082,female,white,no,26,3,1,3,0.607,not_high,917,0.277,-1.219
25,10083,female,white,no,87,4,2,65,1.018,high,917,0.277,-1.219
25,10084,female,white,yes,58,4,4,20,0.964,not_high,917,0.277,-1.219
25,10086,female,white,yes,29,7,6,6,-0.694,not_high,917,0.277,-1.219
25,10088,female,white,yes,30,6,8,6,-2.444,not_high,917,0.277,-1.219
25,10089,female,white,no,73,3,1,61,0.834,not_high,917,0.277,-1.219
25,10090,female,white,no,34,6,3,30,-0.264,not_high,917,0.277,-1.219
25,10091,female,white,no,73,3,1,70,0.983,not_high,917,0.277,-1.219
25,10092,male,white,no,51,4,3,50,0.035,not_high,917,0.277,-1.219
25,10096,female,white,no,45,4,3,46,0.011,not_high,917,0.277,-1.219
25,10098,female,white,no,44,5,4,44,1.011,high,917,0.277,-1.219
25,10099,female,white,no,75,4,3,75,-0.103,not_high,917,0.277,-1.219
25,10100,female,white,yes,66,3,3,66,-0.915,not_high,917,0.277,-1.219
25,10101,female,white,no,96,3,2,32,0.679,not_high,917,0.277,-1.219
25,10102,female,white,no,45,3,3,25,-0.402,not_high,917,0.277,-1.219
25,10103,female,white,yes,75,3,2,32,-0.080,not_high,917,0.277,-1.219
25,10105,male,white,yes,54,3,5,8,0.812,not_high,917,0.277,-1.219
25,10106,female,white,yes,28,5,5,7,0.798,not_high,917,0.277,-1.219
25,10108,male,white,no,85,2,4,77,1.125,high,917,0.277,-1.219
25,10109,female,white,no,83,3,1,28,-0.841,not_high,917,0.277,-1.219
25,10111,female,white,yes,49,5,3,24,-0.271,not_high,917,0.277,-1.219
25,10112,female,white,yes,53,7,1,28,0.120,not_high,917,0.277,-1.219
25,10113,male,white,yes,42,3,4,17,-0.898,not_high,917,0.277,-1.219
25,10115,male,white,yes,78,3,3,78,-0.473,not_high,917,0.277,-1.219
25,10116,female,white,no,70,3,3,55,1.452,high,917,0.277,-1.219
25,10117,male,white,yes,76,6,3,76,-0.216,not_high,917,0.277,-1.219
25,10119,female,white,no,58,4,2,7,1.015,high,917,0.277,-1.219
25,10121,male,white,yes,29,6,5,2,0.613,not_high,917,0.277,-1.219
25,10125,male,white,no,64,3,5,64,-0.034,not_high,917,0.277,-1.219
25,10127,male,white,yes,81,3,3,17,1.657,high,917,0.277,-1.219
25,10128,female,white,yes,49,3,1,8,-0.739,not_high,917,0.277,-1.219
25,10130,female,white,yes,35,6,8,3,1.125,high,917,0.277,-1.219
25,10135,female,white,yes,23,5,4,3,-1.171,not_high,917,0.277,-1.219
25,10136,female,white,yes,43,3,3,43,-0.434,not_high,917,0.277,-1.219
25,10137,male,white,no,59,3,4,59,0.169,not_high,917,0.277,-1.219
25,10138,female,white,yes,60,4,5,60,-2.308,not_high,917,0.277,-1.219
25,10139,male,white,yes,38,3,7,29,-0.219,not_high,917,0.277,-1.219
25,10140,female,white,no,75,4,3,75,0.343,not_high,917,0.277,-1.219
25,10141,male,white,yes,45,3,8,23,1.011,high,917,0.277,-1.219
25,10144,female,white,yes,39,3,3,11,-2.176,not_high,917,0.277,-1.219
25,10145,female,white,yes,67,5,3,25,-1.537,not_high,917,0.277,-1.219
25,10146,female,white,yes,47,4,8,45,-0.213,not_high,917,0.277,-1.219
25,10147,male,white,yes,37,4,4,10,-1.015,not_high,917,0.277,-1.219
25,10148,female,white,no,52,4,1,26,-2.854,not_high,917,0.277,-1.219
25,10149,male,white,yes,58,3,4,35,-0.523,not_high,917,0.277,-1.219
25,10150,female,white,yes,36,6,3,3,0.797,not_high,917,0.277,-1.219
25,10152,female,white,yes,49,4,2,28,1.004,high,917,0.277,-1.219
30,20001,male,white,no,70,1,2,19,-0.692,not_high,622,0.183,0.314
30,20003,male,white,yes,76,3,4,11,1.047,high,622,0.183,0.314
30,20005,female,white,yes,43,6,4,8,0.117,not_high,622,0.183,0.314
30,20008,female,white,yes,73,3,6,42,-0.198,not_high,622,0.183,0.314
30,20009,male,white,yes,72,3,2,55,0.230,not_high,622,0.183,0.314
30,20010,male,white,yes,59,3,4,46,0.719,not_high,622,0.183,0.314
30,20011,female,white,no,80,3,3,46,0.765,not_high,622,0.183,0.314
30,20012,female,white,no,83,1,2,12,0.127,not_high,622,0.183,0.314
30,20013,male,white,yes,76,3,4,8,0.772,not_high,622,0.183,0.314
30,20015,female,white,yes,63,4,4,34,0.425,not_high,622,0.183,0.314
30,20016,female,white,yes,45,6,4,8,1.337,high,622,0.183,0.314
30,20018,female,white,yes,58,3,3,35,-1.159,not_high,622,0.183,0.314
30,20019,male,white,yes,59,5,6,30,0.900,not_high,622,0.183,0.314
30,20020,female,white,no,81,4,2,55,2.093,high,622,0.183,0.314
30,20023,female,white,no,64,6,2,27,-0.914,not_high,622,0.183,0.314
30,20026,female,white,yes,54,3,5,20,-0.066,not_high,622,0.183,0.314
30,20028,female,white,no,69,4,2,35,0.244,not_high,622,0.183,0.314
30,20029,male,white,no,38,5,2,4,-0.946,not_high,622,0.183,0.314
30,20030,female,white,no,81,4,3,68,1.685,high,622,0.183,0.314
30,20033,male,white,yes,82,4,4,8,0.660,not_high,622,0.183,0.314
30,20039,female,white,yes,37,3,6,37,1.210,high,622,0.183,0.314
30,20042,female,white,no,89,3,1,66,0.843,not_high,622,0.183,0.314
30,20045,male,white,yes,74,1,2,15,-3.181,not_high,622,0.183,0.314
30,20046,female,white,yes,78,2,2,50,1.335,high,622,0.183,0.314
30,20047,male,white,yes,67,3,4,40,0.143,not_high,622,0.183,0.314
30,20048,female,white,yes,59,3,2,12,0.515,not_high,622,0.183,0.314
30,20049,male,white,yes,33,6,6,2,-0.907,not_high,622,0.183,0.314
30,20052,female,white,yes,78,3,4,48,-0.380,not_high,622,0.183,0.314
