neighid,male,dadeduc,momeduc,socialcapital,familywealth,deprive
26,female,no,no,2.9719999,.56099999,-.551
26,female,no,no,1.972,1.5177,-.551
26,male,no,no,-1.028,-1.3276,-.551
26,male,no,no,17.972,1.5177,-.551
26,female,no,no,-10.028,-1.3276,-.551
27,female,no,yes,3.9719999,-.13249999,.147
29,male,yes,yes,8.9720001,.029300001,-.082999997
29,female,no,no,-8.0279999,-.36000001,-.082999997
29,male,no,no,4.9720001,.1582,-.082999997
29,female,no,no,1.972,.1582,-.082999997
29,male,no,no,-4.0279999,.73500001,-.082999997
29,male,no,no,-17.028,-1.3276,-.082999997
29,female,no,no,-8.0279999,-1.3276,-.082999997
29,female,no,no,-15.028,-1.3276,-.082999997
29,female,no,no,-.028000001,.56099999,-.082999997
30,male,no,no,-.028000001,-.13249999,-.27399999
30,male,yes,no,.972,1.5177,-.27399999
31,male,yes,yes,2.9719999,2.4151001,.0070000002
31,male,no,no,-16.028,-1.3276,.0070000002
32,male,no,no,.972,.26409999,-.19499999
32,female,no,no,-.028000001,-.36000001,-.19499999
32,female,no,no,-1.028,-.36000001,-.19499999
32,male,no,no,7.9720001,.029300001,-.19499999
32,male,no,no,6.9720001,.029300001,-.19499999
32,female,no,no,-1.028,.73500001,-.19499999
33,female,no,no,-4.0279999,-.36000001,.54400003
33,male,yes,yes,-5.0279999,-1.3276,.54400003
33,female,no,no,-18.028,-1.3276,.54400003
33,male,no,no,-4.0279999,-.36000001,.54400003
35,male,no,no,-15.028,-1.3276,.32499999
35,male,no,no,-16.028,-1.3276,.32499999
35,female,no,no,-9.0279999,-1.3276,.32499999
36,female,no,yes,6.9720001,.26409999,.215
36,male,no,no,-1.028,.73500001,.215
37,male,no,no,-21.028,-1.3276,.76700002
38,male,no,no,-8.0279999,-1.3276,-.34900001
38,male,no,no,-1.028,-1.3276,-.34900001
38,female,no,no,11.972,.73500001,-.34900001
38,male,no,no,-6.0279999,-.13249999,-.34900001
38,male,no,no,2.9719999,-.36000001,-.34900001
39,male,no,no,-8.0279999,-1.3276,.024
39,female,no,no,.972,-.36000001,.024
39,female,no,no,-5.0279999,-.13249999,.024
40,male,no,no,-22.028,-1.3276,.31
40,female,no,no,-18.028,-1.3276,.31
40,female,no,no,.972,.029300001,.31
40,male,no,yes,12.972,.56099999,.31
41,female,yes,no,-9.0279999,-1.3276,.23100001
47,female,no,no,-22.028,-1.3276,.20200001
47,male,no,no,-11.028,-.13249999,.20200001
47,female,no,no,7.9720001,-.13249999,.20200001
47,female,no,no,-.028000001,.26409999,.20200001
47,male,no,yes,-2.0280001,-.36000001,.20200001
47,male,no,no,-16.028,-1.3276,.20200001
47,male,no,no,-13.028,-1.3276,.20200001
47,male,no,no,-10.028,-.36000001,.20200001
48,female,no,no,2.9719999,.029300001,-.352
48,male,no,no,-3.0280001,-.13249999,-.352
48,female,no,no,-21.028,-1.3276,-.352
48,male,yes,yes,-16.028,-1.3276,-.352
48,female,yes,yes,-4.0279999,-1.3276,-.352
49,male,no,no,-4.0279999,.26409999,.648
49,male,no,no,.972,.029300001,.648
49,male,no,no,4.9720001,-1.3276,.648
49,female,yes,yes,10.972,.3917,.648
49,female,no,no,-12.028,-1.3276,.648
49,male,no,no,-15.028,.029300001,.648
50,female,no,no,1.972,-1.3276,1.262
50,male,no,yes,-13.028,-1.3276,1.262
50,female,no,yes,-11.028,-1.3276,1.262
50,male,no,no,-20.028,-1.3276,1.262
50,male,no,no,-18.028,-1.3276,1.262
50,female,no,no,-9.0279999,-1.3276,1.262
51,male,no,no,2.9719999,-.36000001,1.217
51,male,no,no,-23.028,-1.3276,1.217
51,female,no,no,-21.028,-1.3276,1.217
51,female,no,no,3.9719999,.9127,1.217
51,male,yes,yes,-7.0279999,-1.3276,1.217
51,male,no,no,-18.028,-1.3276,1.217
52,male,yes,yes,-9.0279999,-1.3276,.2
52,male,no,no,-11.028,-1.3276,.2
52,female,no,no,.972,.73500001,.2
52,male,no,no,2.9719999,1.1404999,.2
53,female,yes,no,3.9719999,2.4151001,-.34200001
53,male,no,yes,-8.0279999,-1.3276,-.34200001
53,male,yes,yes,-6.0279999,-1.3276,-.34200001
53,male,no,no,-2.0280001,-.36000001,-.34200001
54,female,yes,yes,-4.0279999,-1.3276,-.07
54,male,no,yes,.972,.9127,-.07
54,male,no,no,-27.028,-1.3276,-.07
54,female,no,no,-5.0279999,-.36000001,-.07
55,female,no,yes,-11.028,-.36000001,.58600003
55,female,no,no,-.028000001,.1582,.58600003
56,female,no,no,-4.0279999,-1.3276,.48100001
56,male,no,no,-2.0280001,-.13249999,.48100001
56,male,no,no,1.972,-.13249999,.48100001
56,female,no,no,-3.0280001,.9127,.48100001
57,male,no,yes,-.028000001,.56099999,.017000001
57,female,no,no,.972,-.5812,.017000001
57,male,no,no,-9.0279999,-1.3276,.017000001
57,male,yes,yes,-2.0280001,-1.3276,.017000001
57,male,no,no,-12.028,-1.3276,.017000001
58,female,no,no,-6.0279999,-.36000001,.63
58,male,no,no,-9.0279999,-.5812,.63
58,female,no,no,2.9719999,.26409999,.63
58,male,yes,yes,7.9720001,.1582,.63
59,male,no,no,-22.028,-1.3276,-.42699999
59,female,no,no,-18.028,-1.3276,-.42699999
59,female,no,no,3.9719999,.1582,-.42699999
60,female,no,no,3.9719999,.56099999,-.264
60,male,no,no,-11.028,-1.3276,-.264
60,female,no,no,12.972,.9127,-.264
60,male,yes,yes,-11.028,-1.3276,-.264
60,female,no,no,-6.0279999,1.5177,-.264
60,male,no,yes,-1.028,.26409999,-.264
61,male,yes,yes,7.9720001,.3917,.090000004
61,female,no,yes,12.972,1.1404999,.090000004
61,female,no,no,-3.0280001,-.36000001,.090000004
61,male,no,no,8.9720001,.029300001,.090000004
61,female,no,no,10.972,.1582,.090000004
61,male,yes,yes,-11.028,-1.3276,.090000004
62,male,no,no,4.9720001,.56099999,-.40000001
62,male,yes,no,8.9720001,.3917,-.40000001
62,male,yes,no,12.972,.56099999,-.40000001
62,female,yes,no,-5.0279999,.029300001,-.40000001
62,male,no,no,5.9720001,-.36000001,-.40000001
62,female,no,no,-16.028,-1.3276,-.40000001
64,male,no,no,-4.0279999,.3917,.31
65,female,no,yes,7.9720001,.9127,-.37099999
66,male,no,no,10.972,.3917,-.212
66,male,no,no,-18.028,-.5812,-.212
66,female,no,no,17.972,.1582,-.212
66,male,no,no,-1.028,-.13249999,-.212
66,female,no,yes,25.972,1.1404999,-.212
66,male,no,no,-4.0279999,.56099999,-.212
67,female,no,no,-6.0279999,-.36000001,-.58600003
67,male,no,no,5.9720001,-.13249999,-.58600003
67,female,no,no,1.972,-.5812,-.58600003
67,female,no,no,-21.028,-1.3276,-.58600003
67,male,yes,no,30.972,2.4151001,-.58600003
68,male,no,no,-18.028,-1.3276,-.198
68,female,no,no,-7.0279999,-1.3276,-.198
68,female,no,no,-2.0280001,-1.3276,-.198
68,female,no,yes,-3.0280001,2.4151001,-.198
68,male,no,no,2.9719999,-1.3276,-.198
68,female,no,no,2.9719999,.1582,-.198
69,male,no,no,-7.0279999,.56099999,.077
69,female,no,no,12.972,1.1404999,.077
69,female,no,no,-10.028,-1.3276,.077
69,female,no,no,-6.0279999,.26409999,.077
69,female,yes,yes,-4.0279999,-.13249999,.077
69,female,no,no,.972,.9127,.077
69,female,no,no,-10.028,-.36000001,.077
70,male,no,no,-9.0279999,-1.3276,.81300002
70,female,no,no,-8.0279999,-1.3276,.81300002
70,male,no,yes,-.028000001,-1.3276,.81300002
70,female,no,no,-2.0280001,-1.3276,.81300002
119,female,no,no,-17.028,-1.3276,.42399999
119,female,no,no,-7.0279999,.1582,.42399999
119,male,no,yes,-6.0279999,-1.3276,.42399999
119,male,no,no,3.9719999,-1.3276,.42399999
119,male,no,no,1.972,-.36000001,.42399999
120,female,yes,yes,-10.028,-.36000001,.36300001
120,male,no,no,7.9720001,-1.3276,.36300001
121,female,no,no,-8.0279999,-1.3276,.092
