id,female,educate,AfricanAmerican,OtherEthnic,Latinx,income,immigrant,SameOpinions,CandidateSame
4,0,18,1,0,0,12,0,1,18.732189
5,0,18,0,1,0,10,1,1,18.358946
6,1,16,1,0,0,11,0,0,21.590763
7,0,18,0,1,0,6,1,1,19.313181
8,1,18,0,0,0,16,0,1,7.6781964
9,0,20,1,0,0,13,0,1,18.873369
11,0,20,1,0,0,9,0,0,18.173712
12,0,19,1,0,0,3,0,1,17.863478
13,1,15,0,0,0,8,0,1,11.075398
14,0,15,0,0,0,14,0,1,7.5164127
15,0,15,1,0,0,12,0,1,15.385284
16,0,18,0,0,1,19,0,1,14.390177
17,1,16,0,0,1,12,0,1,14.111973
18,0,16,0,0,1,16,0,0,18.807186
20,1,18,0,0,0,12,0,0,6.878931
21,1,15,1,0,0,7,0,1,20.981943
22,1,19,0,1,0,19,0,1,14.057083
25,1,19,0,0,0,10,0,0,8.0960617
26,1,18,0,0,0,13,0,1,5.5242639
27,0,15,1,0,0,11,0,1,21.056721
28,1,16,1,0,0,7,0,0,21.010181
29,1,18,0,0,0,4,0,1,9.2400084
30,1,15,0,0,0,8,0,1,10.679956
31,1,16,1,0,0,14,0,1,17.040806
32,1,15,0,0,0,17,0,0,8.9905014
34,0,19,0,0,0,19,0,1,7.0251245
35,1,18,0,0,0,10,0,0,12.262032
36,1,19,0,0,0,14,0,1,7.2991824
37,1,15,0,0,1,8,1,1,26.861553
38,0,19,1,0,0,12,0,0,17.083397
39,1,19,1,0,0,13,0,1,18.288033
40,1,17,1,0,0,7,1,0,16.502874
41,1,16,0,0,1,14,1,0,19.225634
42,0,17,1,0,0,8,0,1,18.702297
43,0,18,0,0,0,12,0,0,7.2745094
46,0,20,1,0,0,18,0,1,15.916313
47,0,16,0,0,1,7,1,0,35.186161
48,0,18,0,1,0,14,1,1,7.3516512
49,0,15,1,0,0,9,0,1,22.441345
50,0,15,0,0,0,1,0,0,15.463395
51,0,15,0,0,1,6,0,1,18.904966
53,1,19,0,0,0,15,0,1,6.3210764
54,1,15,1,0,0,10,0,0,17.422089
55,0,15,0,0,0,12,0,0,7.6655393
56,1,18,0,0,0,15,0,1,7.1790762
57,0,18,0,1,0,14,1,1,16.099894
58,1,16,0,0,0,18,0,1,8.7774124
60,1,17,0,0,0,6,0,0,10.405651
61,1,16,0,1,0,16,1,1,15.676258
62,1,18,0,0,1,13,1,0,14.510119
63,0,16,1,0,0,13,0,1,21.258287
64,1,18,0,0,0,19,0,0,7.6831861
65,0,19,0,0,0,11,0,1,9.5435591
66,1,19,1,0,0,12,0,1,18.118771
68,0,16,0,0,0,14,0,0,9.6364307
69,1,15,0,0,1,10,1,1,23.58777
70,1,8,0,0,1,8,1,0,10.993453
71,0,9,0,0,1,8,1,0,49.492039
72,1,16,1,0,0,16,0,1,21.123987
73,0,19,0,0,0,16,0,0,6.9861093
74,1,15,0,0,1,10,1,1,24.605022
75,1,16,1,0,0,11,0,0,20.00967
77,1,18,1,0,0,4,0,1,15.797242
78,0,9,0,0,1,11,1,0,22.306784
79,0,15,0,0,0,8,0,1,12.914177
80,1,18,0,0,0,11,0,1,8.7243938
81,1,16,0,0,0,12,0,1,8.4722776
82,0,15,0,0,1,6,0,1,17.474747
83,1,15,0,1,0,12,1,1,19.945969
84,0,13,1,0,0,9,0,0,21.674963
85,0,18,1,0,0,10,0,1,18.908028
86,0,17,0,0,1,13,0,1,18.558323
87,1,19,0,0,0,12,1,0,11.642686
88,1,14,0,0,1,7,1,1,31.131266
89,1,15,0,0,0,11,0,1,10.857448
90,1,15,0,0,0,6,0,1,10.049857
91,0,18,1,0,0,15,0,1,19.143511
92,0,16,1,0,0,11,0,1,19.373903
94,0,20,0,0,1,15,0,1,13.628413
95,1,20,1,0,0,19,0,1,19.669163
96,1,18,0,1,0,14,0,1,15.270682
97,0,15,0,0,1,12,1,0,19.065723
98,0,14,1,0,0,4,0,0,24.307259
99,0,15,1,0,0,1,0,0,23.010639
100,0,18,0,1,0,14,0,1,15.036989
102,0,19,0,0,0,12,0,1,11.627934
103,0,14,1,0,0,7,0,0,23.916807
104,0,15,0,0,1,8,1,1,20.015797
105,1,15,0,0,1,16,1,0,15.450946
108,1,15,0,0,0,14,0,1,10.071552
109,0,16,1,0,0,9,0,1,23.321701
110,0,17,0,0,0,13,0,1,11.314492
111,1,13,0,0,0,16,0,1,11.688864
112,0,15,0,0,1,7,1,0,27.229572
113,1,12,0,0,1,11,1,1,14.613932
114,1,18,0,1,0,11,1,1,15.008727
116,0,17,0,1,0,15,1,1,16.002924
117,1,16,1,0,0,8,1,0,17.687492
118,1,17,0,1,0,18,0,0,15.166455
120,0,17,1,0,0,4,0,1,19.027262
122,0,16,0,0,0,15,0,1,8.677206
124,1,19,0,0,0,11,1,1,5.5558372
126,1,16,0,0,0,12,1,1,11.334956
127,1,15,0,0,0,13,0,0,10.681609
129,0,18,1,0,0,16,0,1,17.620596
130,1,18,0,1,0,19,1,1,17.106602
131,1,16,1,0,0,1,0,1,22.481686
132,0,19,0,0,0,16,0,0,12.304547
133,1,16,1,0,0,12,0,0,19.87952
134,0,18,0,0,0,16,0,0,11.385908
136,0,16,0,0,1,15,0,1,15.418087
138,0,17,0,0,0,15,1,1,12.42024
139,0,15,0,0,0,6,0,1,14.122043
140,0,16,0,0,0,16,0,1,13.129209
141,0,7,0,0,1,1,1,1,11.642686
142,0,16,0,0,0,12,0,1,10.353502
144,0,15,0,0,1,9,0,1,33.34272
145,1,19,0,0,0,16,0,0,8.6581621
146,1,17,0,0,1,18,0,1,14.72162
148,1,16,0,1,0,16,1,1,12.643441
149,1,19,0,0,0,13,0,0,9.7550354
150,0,16,0,0,0,10,1,0,14.082617
151,0,17,0,0,1,19,0,1,15.877448
152,0,19,1,0,0,11,0,0,16.192997
153,0,16,0,0,0,11,0,0,11.742196
154,1,18,0,0,0,15,0,0,15.095392
155,0,18,0,0,0,16,0,1,8.4120541
156,1,16,0,0,0,12,0,1,10.406273
157,0,18,0,0,0,11,0,1,15.617147
158,0,18,0,0,0,12,0,0,9.162324
159,0,15,0,0,0,12,0,1,12.470045
160,1,19,0,0,0,18,0,1,4.6447802
161,1,18,1,0,0,18,0,1,15.356324
162,1,18,0,1,0,16,1,0,14.568757
163,1,15,0,0,0,13,0,0,11.978342
164,1,16,1,0,0,15,0,0,19.055435
165,1,18,1,0,0,16,0,1,20.566921
166,1,19,0,1,0,11,0,0,12.101393
167,0,19,0,0,0,19,0,0,8.5023508
168,0,10,0,0,1,10,1,1,28.638594
169,1,18,0,0,0,13,0,0,11.733102
170,1,16,1,0,0,1,1,1,20.014448
171,0,19,0,0,1,18,1,1,14.871021
172,1,16,1,0,0,7,0,0,19.037903
173,1,19,0,0,0,16,0,1,8.7693377
174,1,16,0,0,0,19,0,1,8.0908833
175,1,16,0,0,1,15,0,1,16.933367
176,1,12,1,0,0,9,0,0,18.460777
177,1,16,1,0,0,7,0,1,18.013189
178,0,15,0,0,0,13,0,0,11.476793
179,1,15,1,0,0,8,0,1,19.961391
180,0,19,0,0,0,12,0,1,6.4778361
181,0,19,0,0,0,14,0,1,10.538558
182,1,10,0,0,1,3,1,1,8.7819958
183,1,17,0,0,0,11,0,0,12.295026
184,1,19,0,0,0,16,0,0,8.451045
185,1,16,0,0,0,10,0,1,13.24915
186,1,15,1,0,0,11,0,1,18.121012
187,1,16,0,0,0,16,0,1,10.100617
188,0,15,0,0,0,8,0,1,14.114879
189,0,19,0,0,0,16,0,1,8.0448494
190,0,17,0,0,0,15,0,1,11.333523
191,0,18,0,0,1,16,0,0,19.992054
192,1,18,0,0,0,13,0,0,7.5505543
193,1,15,0,0,1,9,1,1,13.204909
194,0,16,0,0,0,11,0,0,7.1715193
195,1,16,0,0,0,19,0,0,8.2177925
196,0,20,1,0,0,13,0,1,15.972501
197,0,20,0,0,1,6,1,1,25.799227
198,1,18,0,0,0,15,0,1,8.8330612
201,1,17,0,0,0,9,0,1,10.038335
