State,crimes,males14_24,educate,percappolice,lfp,population,unemploy14_24,unemploy35_39,wealth,inc_inequal
1,79.10,151,9.1,56,510,33,108,41,394,261
2,163.50,143,11.3,95,583,13,96,36,557,194
3,57.80,142,8.9,44,533,18,94,33,318,250
4,196.90,136,12.1,141,577,157,102,39,673,167
5,123.40,141,12.1,101,591,18,91,20,578,174
6,68.20,121,11,115,547,25,84,29,689,126
7,96.30,127,11.1,79,519,4,97,38,620,168
8,155.50,131,10.9,109,542,50,79,35,472,206
9,85.60,157,9,62,553,39,81,28,421,239
10,70.50,140,11.8,68,632,7,100,24,526,174
11,167.40,124,10.5,116,580,101,77,35,657,170
12,84.90,134,10.8,71,595,47,83,31,580,172
13,51.10,128,11.3,60,624,28,77,25,507,206
14,66.40,135,11.7,61,595,22,77,27,529,190
15,79.80,152,8.7,53,530,30,92,43,405,264
16,94.60,142,8.8,77,497,33,116,47,427,247
17,53.90,143,11,63,537,10,114,35,487,166
18,92.90,135,10.4,115,537,31,89,34,631,165
19,75.00,130,11.6,128,536,51,78,34,627,135
20,122.50,125,10.8,105,567,78,130,58,626,166
21,74.20,126,10.8,67,602,34,102,33,557,195
22,43.90,157,8.9,44,512,22,97,34,288,276
23,121.60,132,9.6,83,564,43,83,32,513,227
24,96.80,131,11.6,73,574,7,142,42,540,176
25,52.30,130,11.6,57,641,14,70,21,486,196
26,199.30,131,12.1,143,631,3,102,41,674,152
27,34.20,135,10.9,71,540,6,80,22,564,139
28,121.60,152,11.2,76,571,10,103,28,537,215
29,104.30,119,10.7,157,521,168,92,36,637,154
30,69.60,166,8.9,54,521,46,72,26,396,237
31,37.30,140,9.3,54,535,6,135,40,453,200
32,75.40,125,10.9,81,586,97,105,43,617,163
33,107.20,147,10.4,64,560,23,76,24,462,233
34,92.30,126,11.8,97,542,18,102,35,589,166
35,65.30,123,10.2,87,526,113,124,50,572,158
36,127.20,150,10,98,531,9,87,38,559,153
37,83.10,177,8.7,56,638,24,76,28,382,254
38,56.60,133,10.4,47,599,7,99,27,425,225
39,82.60,149,8.8,54,515,36,86,35,395,251
40,115.10,145,10.4,74,560,96,88,31,488,228
41,88.00,148,12.2,66,601,9,84,20,590,144
42,54.20,141,10.9,54,523,4,107,37,489,170
43,82.30,162,9.9,70,522,40,73,27,496,224
44,103.00,136,12.1,96,574,29,111,37,622,162
45,45.50,139,8.8,41,480,19,135,53,457,249
46,50.80,126,10.4,97,599,40,78,25,593,171
47,84.90,130,12.1,91,623,3,113,40,588,160
