State,fipsCode,CensusRegion,CensusDivision,Population,PopChange2010_18,PerPopChange2010_18,InternMigration,InternMigRate,DomMigration,DomMigRate,Pop18andOlder,PopDensity,PerAge0_18,PerAge19_25,PerAge26_34,PerAge35_54,PerAge55_64,PerAge65Plus,MedianAge,PerWhite,PerBlack,PerLatinx,PerAmIndAlaskan,PerAsian,AssocDegree,BachDegree,MastersDegree,DoctoralDegree,ProfessionalDegree,IllicitDrugsPastMonth,PainPillPastYear,BingeAlcPastMonth,TobaccoPastMonth,IllicitDisorderPastYear,AlcDisorderPastYear,MentalIllnessPastYear,OpioidODDeathRate,SuicideIdeaPastYear,SuicideRate,SuicRateAgeAdj,ViolentCrimeRate,MurderMSRate,RapeRate,RobberyRate,AssaultRate,PropCrimeRate,BurglaryRate,LarcenyRate,MotorVehicleTheftRate,CommunitySupervision,Prisoners,DeathRow,CommSupervisionRate,PrisonRate,DeathRowRate,GunsPerCapita,Guns,PerPoverty,PerChildPoverty,PerCapIncome,MedHHIncome,UnemployRate,GrossStateProduct,StateTaxesPerCapita,CostLiving,TotalVotedPercent,WhiteVotedPercent,AAVotedPercent,LatinxVotedPercent,InfantMortalityRate,LifeExpectancy,HealthExpPerCapita,PercentUninsured,LifeSatis,Conservative,Religious
Alabama,1,South,EastSouthCentral,4887871,107733,2.254,3344,0.68,5718,1.17,3814879,95.4,24,9,12,25,14,17,39,66,26,4,1,1,8.2,15.4,6.9,1,1.5,8.67,4.53,21.40,30.12,2.86,4.51,19.95,9,3.89,15.9,16.6,427.4,5.7,41.3,96.9,283.4,3177.6,819,2149.5,209.1,60700,40900,177,1591.14,1072.12,4.33,33.15,161641,16.89,24,26846,48486,4.1,211197,2262,89.3,69,52.6,49.6,29.1,9.03,75,7281,12.0,51.42162,26.00835,32.03850
Alaska,2,West,Pacific,737438,27189,3.828,2401,3.26,-10752,-14.58,551562,1.3,27,9,13,26,13,12,33.5,60,3,7,16,6,8.5,19,7.6,1.2,1.8,16.81,4.81,24.20,26.68,3.69,6.57,20.32,13.9,5.34,28.07,27,635.8,5.6,104.7,85.4,440.2,2760,427.6,2096.4,236,8400,4400,0,1522.95,797.73,0.00,21.38,15824,11.11,13,35874,76715,6.5,51479,2226,129.9,67.7,60.3,NA,NA,5.17,77.8,11064,14.3,52.08266,19.27924,24.12306
Arizona,4,West,Mountain,7171646,779358,12.192,14335,2.00,83240,11.61,5638481,58.3,24,9,12,24,12,18,37.5,54,4,32,4,3,8.4,18.1,7.8,1.2,1.8,10.77,4.27,23.10,21.19,2.79,5.49,18.02,13.5,4.02,19.37,18.2,399.9,4.7,50.2,92.8,252.1,3197.5,647.1,2289.1,261.3,84800,55000,120,1503.95,975.44,2.18,25.61,179738,14.86,20,29265,56213,4.7,326446,2272,97,68.6,65.3,50.9,48.8,5.32,79.2,6452,12.7,51.38469,20.40239,26.40519
Arkansas,5,South,WestSouthCentral,3013825,97797,3.354,2260,0.75,2475,0.82,2317649,56.9,25,9,12,25,13,17,38,72,15,8,1,2,6.7,14.2,5.9,0.9,1.3,10.51,5.03,19.49,30.69,2.80,5.38,20.73,6.5,4.59,21.72,20.8,480.1,5.6,59.4,69.1,346,3338,835.7,2313.5,188.8,51500,24000,32,2222.08,1035.53,1.33,26.57,79841,16.40,24,25635,45726,3.5,122704,3266,86.9,58.5,44,41.6,20.8,8.2,75.5,7408,9.8,52.34836,25.04501,30.05092
California,6,West,Pacific,39557045,2302522,6.181,117797,2.98,-156068,-3.95,30617582,246.1,24,9,14,26,12,14,36.4,37,5,39,1,15,7.7,20.6,8.4,1.6,2.4,13.11,4.30,23.52,16.23,2.97,5.51,18.18,5.3,4.04,11.48,10.5,396.1,4.4,29.7,125.5,236.6,2441.1,522.3,1527.4,391.3,333300,202700,727,1088.59,662.04,3.59,8.71,344622,13.30,17,35021,71228,4.1,2797601,4424,151.7,61.5,61.4,49.9,43.3,4.22,81,7549,8.3,51.49240,17.61913,24.76924
Colorado,8,West,Mountain,5695564,666248,13.247,8207,1.44,43293,7.60,4499217,50.8,24,9,14,26,13,14,36.7,68,4,22,1,3,8.6,24.9,10.9,1.6,2.3,17.83,4.87,26.97,20.15,3.43,6.30,19.86,10,5.41,21.59,20.3,309.1,2.8,56.7,56.7,192.8,2530.1,438.2,1857.1,234.8,90900,32100,3,2020.35,713.46,0.09,16.48,92435,10.29,12,36415,68811,3.1,345233,2599,105.6,65.6,62.6,31,43.9,4.76,80,6804,8.6,52.87864,18.76129,24.94406
Connecticut,9,Northeast,NewEngland,3572665,-1482,-0.100,16494,4.62,-21509,-6.02,2837847,742.6,22,8,11,27,15,17,40.9,66,10,17,0.5,5,7.5,21.9,12.1,1.6,3,12.33,4.21,28.30,21.24,3.47,6.10,18.18,27.7,4.05,10.85,10.5,236.9,2.4,21.7,87.8,125,1920.4,332.4,1418.1,169.9,44700,15000,0,1575.14,528.57,0.00,22.96,82400,9.59,14,43056,76106,4.2,264510,5341,127.7,68,57.7,48.3,41.1,4.78,80.7,9859,6.2,50.48911,16.38807,24.62754
Delaware,10,South,SouthAtlantic,967171,69237,7.711,1820,1.88,6858,7.09,770192,475.1,22,8,12,25,14,19,40.6,62,21,9,0.5,4,7.9,18.4,8.9,1.8,1.9,11.71,4.23,22.51,21.77,3.35,6.15,18.65,27.8,4.16,12.86,11.6,489.1,5.8,41.3,135.6,306.4,2982,616.5,2230.1,135.4,15800,6600,0,2051.44,856.93,0.00,5.04,4852,13.58,17,33989,65627,4,72461,4363,108.1,66.3,52.7,55.2,NA,7.82,78.2,10254,6.8,52.74064,18.75668,26.69152
Florida,12,South,SouthAtlantic,21299325,2494745,13.267,175670,8.25,132603,6.22,17247808,364.6,21,8,12,25,14,21,42.1,53,15,26,0.5,3,9.7,18.2,7.2,1.1,2.1,10.36,4.18,24.66,20.49,2.71,5.29,17.54,16.3,3.49,11.87,14,540.5,5.8,43,125.2,366.4,3415.5,719.9,2481.5,214,218600,149800,348,1267.41,868.52,2.32,16.35,343288,14.05,19,30197,53267,3.5,976386,2158,97.9,62.7,57,47.4,44.3,6.14,79.3,8076,16.0,51.06607,20.31508,26.87790
Georgia,13,South,SouthAtlantic,10519475,830766,8.575,21786,2.07,41914,3.98,8113542,173.7,26,9,12,27,12,14,36.5,52,31,10,0.3,4,7.6,18.7,8.3,1.3,2.1,8.34,3.61,20.61,24.08,2.39,4.42,18.07,9.7,4.38,14.57,13.6,377.3,5.7,30.2,123,218.4,3281.2,756.9,2258.4,266,124243,91400,49,1531.30,1126.51,0.54,18.22,190050,14.95,20,29523,55679,3.7,563608,2244,89.2,66.2,56.1,58.5,38.2,7.47,77.2,6587,15.7,51.19799,22.56505,29.51961
