state,married,divorced,widowed,separated,nevermarried,college,nojob1year,overweight,obese,fruit_vegetables,dailysmoker,currentsmoker,bingedrink
Alabama,61,9.8000002,8.1000004,2.5999999,16.9,26.299999,2,35.700001,30.9,20.6,16.5,22.5,11
Alaska,59.400002,10.9,4,1.8,18.5,34.299999,1.5,36.900002,28.200001,24.200001,15.6,22.200001,19.200001
Arizona,63.900002,9,6.5999999,1.9,14.2,34,3.2,36.799999,25.799999,28.299999,13.6,19.799999,15
Arkansas,65.5,8.6999998,7,1.9,14.1,27.299999,1.5,36.299999,29.299999,21.799999,17.299999,22.4,10.4
California,56.400002,8.1000004,5.3000002,2.5999999,20.6,33,1.7,35.700001,23.299999,28.9,8.8000002,14.3,16.9
Colorado,63.599998,9.3000002,4.5999999,1.6,16.299999,39.200001,1.5,36.400002,19.299999,25.799999,13.4,18.700001,17.299999
Connecticut,62.099998,8,6.4000001,1.2,17.9,45.599998,1.4,37.5,21.700001,28.5,11.3,15.4,17.799999
Delaware,58.700001,10,6.3000002,1.6,19.799999,35,1.2,36.799999,28.200001,21.4,15.1,18.9,18.6
DC,39.900002,10.4,7.6999998,3.3,31.6,54.5,2.7,33.099998,22.200001,32.5,11.1,17.200001,16.1
Florida,59.599998,10.9,8.1999998,2.4000001,15.1,33.799999,1.7,38,24.1,26.200001,14.3,19.299999,14.2
Georgia,62.700001,9.8000002,5.8000002,2.4000001,16.5,37.299999,2.4000001,36.299999,28.700001,25,14.7,19.4,12.6
Guam,57.299999,5.6999998,4.5,1.9,25.5,23.5,4.4000001,36.400002,24.6,22.4,23.299999,31,19.5
Hawaii,59.5,7.5,5.9000001,1,23.299999,33.599998,1.4,35.099998,21.700001,28.700001,12.9,17,18.6
Idaho,68,8.8999996,5.4000001,1.1,13.2,27.9,1.1,38,25.1,22.299999,14.5,19.1,14.7
Illinois,59.099998,7.3000002,6.4000001,2,20.5,35.799999,1.6,37.400002,25.6,24.6,13.7,20.1,19.5
Indiana,62.299999,10,6.4000001,1.2,16.9,27.299999,1.9,35.799999,27.4,22.799999,18.200001,24.1,15.6
Iowa,66.599998,7.3000002,6.9000001,.69999999,15.7,27.6,.80000001,37,27.700001,19.9,14.5,19.799999,19.9
Kansas,66.599998,7.6999998,6.5,.89999998,15.5,35.799999,.89999998,36.099998,27.700001,18.799999,13.7,17.9,14.6
Kentucky,64.300003,10.6,7.6999998,1.7,13.7,21.700001,1.7,40.400002,28.700001,18.4,23.5,28.200001,8.1999998
Louisiana,60.5,10.2,7.0999999,2,19,30.200001,2.2,34.5,30.700001,19.6,16.9,22.6,13.4
Maine,60.700001,10.7,6.8000002,1.2,15.1,34.099998,1.8,37.700001,25.200001,28.6,16.200001,20.200001,15.9
Maryland,59.799999,8.8999996,6.1999998,2.7,18.299999,43.900002,1.6,36.400002,26.299999,26.6,11.5,17.1,12.6
Massachusetts,61.799999,8.1999998,6.6999998,1.8,17.4,46.599998,1.9,37.200001,21.700001,27.5,12,16.4,17.6
Michigan,60.5,8.6999998,6.3000002,1.2,20.299999,31.5,2.5,36.099998,28.200001,21.299999,15.8,21.1,18.5
Minnesota,63.099998,7.0999999,5.5,1.1,20,37.200001,.60000002,36,26,19.4,12.4,16.5,14.3
Mississippi,57.400002,8.8999996,7.5999999,3.3,21.4,25.1,2.0999999,35.5,32.599998,18.1,18.5,23.9,11.3
Missouri,60.900002,10.2,7.8000002,1.4,17.200001,28.1,2,35.099998,28.200001,20.200001,19.799999,24.5,16.200001
Montana,64.800003,9.8000002,5.8000002,1,14.7,32.700001,1.4,39.200001,22.6,25.299999,14.8,19.5,17.1
Nebraska,66.5,7.5999999,6.6999998,.89999998,15.4,33,.69999999,38.200001,26.5,24.1,14.5,19.9,18
Nevada,57.5,10,5.9000001,2,18.1,28.799999,1.6,38.400002,24.6,21.9,16.1,21.5,16.9
New Hampshire,64.5,9.8000002,5.9000001,1.2,14.5,41.099998,1.8,36.700001,25.1,28.5,15.1,19.299999,15.5
