state,county,teen_birth_rate,per_uninsured,per_hsgrads,per_child_poverty,per_singleparent
Alabama,Autauga,51,14,85,18,30
Alabama,Baldwin,50,16,73,20,29
Alabama,Barbour,74,19,64,36,52
Alabama,Bibb,59,18,67,29,35
Alabama,Blount,51,18,75,24,25
Alabama,Bullock,90,21,58,40,64
Alabama,Butler,66,18,76,40,50
Alabama,Calhoun,58,16,72,32,39
Alabama,Chambers,70,19,61,44,46
Alabama,Cherokee,62,18,67,33,26
Alabama,Chilton,61,19,73,32,30
Alabama,Choctaw,53,18,68,30,37
Alabama,Clarke,46,17,74,34,40
Alabama,Clay,57,18,73,30,27
Alabama,Cleburne,65,18,86,27,32
Alabama,Coffee,51,16,79,30,37
Alabama,Colbert,53,16,69,32,33
Alabama,Conecuh,55,17,70,41,42
Alabama,Coosa,55,16,61,30,32
Alabama,Covington,70,19,72,30,38
Alabama,Crenshaw,59,18,80,30,38
Alabama,Cullman,57,19,74,27,25
Alabama,Dale,56,17,69,26,31
Alabama,Dallas,82,17,66,57,57
Alabama,DeKalb,74,20,68,32,30
Alabama,Elmore,51,15,67,18,29
Alabama,Escambia,69,20,72,36,48
Alabama,Etowah,60,17,70,29,34
Alabama,Fayette,53,17,67,36,29
Alabama,Franklin,75,20,70,34,32
Alabama,Geneva,59,20,73,32,39
Alabama,Greene,69,17,59,41,54
Alabama,Hale,51,18,74,36,47
Alabama,Henry,53,18,60,29,34
Alabama,Houston,59,17,69,28,40
Alabama,Jackson,55,17,72,29,29
Alabama,Jefferson,50,14,69,28,42
Alabama,Lamar,59,18,62,31,38
Alabama,Lauderdale,41,16,80,26,29
Alabama,Lawrence,55,18,75,24,26
Alabama,Lee,29,16,76,21,34
Alabama,Limestone,55,16,79,20,26
Alabama,Lowndes,66,17,58,46,57
Alabama,Macon,32,17,55,47,64
Alabama,Madison,37,13,75,18,32
Alabama,Marengo,52,18,77,33,42
Alabama,Marion,68,18,83,31,29
Alabama,Marshall,91,19,71,31,35
Alabama,Mobile,61,17,65,29,42
Alabama,Monroe,60,17,64,50,47
Alabama,Montgomery,58,14,52,32,49
Alabama,Morgan,57,16,70,21,31
Alabama,Perry,49,18,79,54,66
Alabama,Pickens,45,16,72,36,47
Alabama,Pike,50,17,63,38,49
Alabama,Randolph,65,19,81,37,40
Alabama,Russell,66,18,65,36,48
Alabama,St. Clair,55,17,74,20,26
Alabama,Shelby,26,10,76,13,19
Alabama,Sumter,44,20,72,43,68
Alabama,Talladega,63,16,68,34,36
Alabama,Tallapoosa,62,17,64,30,36
Alabama,Tuscaloosa,38,14,69,23,36
Alabama,Walker,62,18,59,35,31
Alabama,Washington,43,16,79,29,28
Alabama,Wilcox,60,19,69,53,66
Alabama,Winston,62,18,84,32,36
Alaska,Anchorage,40,20,75,12,30
Alaska,Bethel,72,29,49,30,31
Alaska,Dillingham,56,30,59,30,32
Alaska,Fairbanks North Star,41,21,61,13,28
Alaska,Juneau,28,19,64,10,32
Alaska,Kenai Peninsula,29,26,79,14,29
Alaska,Ketchikan Gateway,33,25,77,15,34
Alaska,Kodiak Island,33,29,86,10,25
Alaska,Matanuska-Susitna,31,24,76,14,25
Alaska,Nome,88,31,68,31,39
Alaska,North Slope,99,27,69,13,49
Alaska,Northwest Arctic,89,29,56,22,43
Alaska,Prince of Wales-Outer Ketchikan,44,28,56,24,35
Alaska,Sitka,29,26,96,12,34
Alaska,Southeast Fairbanks,34,29,45,22,29
Alaska,Valdez-Cordova,23,25,72,11,33
Alaska,Wade Hampton,98,29,60,46,38
Alaska,Wrangell-Petersburg,23,27,79,17,41
Alaska,Yukon-Koyukuk,55,35,100,35,53
Arizona,Apache,57,23,72,42,43
Arizona,Cochise,53,17,80,27,32
Arizona,Coconino,50,20,78,28,40
Arizona,Gila,82,19,72,34,40
Arizona,Graham,59,21,76,26,41
Arizona,Greenlee,65,15,76,17,35
Arizona,La Paz,85,25,80,38,45
Arizona,Maricopa,61,20,78,24,32
Arizona,Mohave,66,20,69,34,36
Arizona,Navajo,63,20,72,36,39
Arizona,Pima,51,18,71,25,36
Arizona,Pinal,69,20,67,18,31
Arizona,Santa Cruz,64,24,80,44,31
Arizona,Yavapai,52,20,73,28,33
Arizona,Yuma,76,24,75,32,36
Arkansas,Arkansas,58,19,72,28,39
Arkansas,Ashley,67,20,71,32,35
Arkansas,Baxter,50,20,75,27,29
Arkansas,Benton,53,19,80,14,25
Arkansas,Boone,58,20,76,26,27
Arkansas,Bradley,78,25,77,43,32
Arkansas,Calhoun,42,22,70,23,53
Arkansas,Carroll,66,25,71,27,32
Arkansas,Chicot,64,22,59,44,60
Arkansas,Clark,35,22,100,28,36
Arkansas,Clay,69,22,76,29,30
Arkansas,Cleburne,51,21,75,29,24
Arkansas,Cleveland,59,20,71,23,39
Arkansas,Columbia,51,19,76,36,48
Arkansas,Conway,66,19,71,26,30
Arkansas,Craighead,54,20,82,27,38
Arkansas,Crawford,62,20,78,24,31
Arkansas,Crittenden,88,19,71,46,60
Arkansas,Cross,61,20,76,30,28
Arkansas,Dallas,61,21,56,34,48
Arkansas,Desha,81,22,78,42,47
Arkansas,Drew,50,21,81,30,46
Arkansas,Faulkner,34,16,84,17,27
Arkansas,Franklin,57,20,73,27,25
Arkansas,Fulton,51,21,91,31,26
Arkansas,Garland,64,21,69,38,36
Arkansas,Grant,45,18,75,19,25
Arkansas,Greene,71,19,72,26,26
Arkansas,Hempstead,80,23,68,33,32
Arkansas,Hot Spring,62,19,75,26,32
Arkansas,Howard,72,23,86,31,40
Arkansas,Independence,64,19,79,27,35
Arkansas,Izard,58,24,71,32,29
Arkansas,Jackson,78,22,68,36,46
Arkansas,Jefferson,69,20,68,34,54
Arkansas,Johnson,80,21,75,31,29
Arkansas,Lafayette,60,24,69,36,37
Arkansas,Lawrence,49,21,85,35,26
Arkansas,Lee,76,27,59,46,57
Arkansas,Lincoln,64,25,76,33,46
Arkansas,Little River,60,18,71,26,32
Arkansas,Logan,63,20,89,28,27
Arkansas,Lonoke,49,17,77,18,27
Arkansas,Madison,47,23,75,30,19
Arkansas,Marion,48,20,70,36,18
Arkansas,Miller,76,20,71,31,44
Arkansas,Mississippi,95,20,63,36,52
Arkansas,Monroe,69,22,75,37,57
Arkansas,Montgomery,55,25,68,35,29
Arkansas,Nevada,82,21,81,38,40
Arkansas,Newton,48,24,100,37,20
Arkansas,Ouachita,73,18,88,31,45
Arkansas,Perry,48,20,87,27,32
Arkansas,Phillips,94,19,54,52,65
Arkansas,Pike,58,24,44,32,29
Arkansas,Poinsett,84,21,74,39,43
Arkansas,Polk,71,23,78,36,36
Arkansas,Pope,51,21,77,25,29
Arkansas,Prairie,52,22,87,29,33
Arkansas,Pulaski,60,16,62,25,43
Arkansas,Randolph,60,21,79,31,26
Arkansas,St. Francis,98,22,67,47,59
Arkansas,Saline,39,15,76,15,27
Arkansas,Scott,84,24,100,36,33
Arkansas,Searcy,51,24,100,42,30
Arkansas,Sebastian,68,22,76,31,32
Arkansas,Sevier,88,27,71,32,37
Arkansas,Sharp,60,22,77,39,27
Arkansas,Stone,60,24,75,38,28
Arkansas,Union,65,18,79,33,42
Arkansas,Van Buren,68,21,82,33,36
Arkansas,Washington,55,21,77,25,30
Arkansas,White,51,21,75,22,30
Arkansas,Woodruff,79,22,66,43,43
Arkansas,Yell,91,25,73,30,28
California,Alameda,29,15,75,17,30
California,Amador,26,16,88,17,23
California,Butte,32,18,80,25,35
California,Calaveras,23,16,89,18,27
California,Colusa,49,24,70,23,33
California,Contra Costa,25,14,81,13,26
California,Del Norte,50,23,71,31,43
California,El Dorado,20,13,84,12,24
California,Fresno,61,22,67,38,36
California,Glenn,49,24,81,26,31
California,Humboldt,31,20,80,22,39
California,Imperial,66,24,79,32,35
California,Inyo,40,20,44,21,39
California,Kern,69,22,74,30,36
California,Kings,72,24,70,30,28
California,Lake,42,20,77,30,32
California,Lassen,32,19,73,19,33
California,Los Angeles,40,25,71,25,34
California,Madera,67,24,75,32,32
California,Marin,13,12,90,11,24
California,Mariposa,22,17,88,22,31
California,Mendocino,39,22,73,29,37
California,Merced,57,21,78,31,31
California,Modoc,37,22,80,33,39
California,Mono,29,21,74,15,25
California,Monterey,57,24,72,26,31
California,Napa,30,18,77,15,24
California,Nevada,19,16,48,17,31
California,Orange,31,20,82,16,25
California,Placer,20,12,86,11,21
California,Plumas,23,16,78,22,34
California,Riverside,47,23,76,23,28
California,Sacramento,40,16,71,24,34
California,San Benito,39,19,86,17,25
California,San Bernardino,50,22,69,25,32
California,San Diego,37,19,74,19,29
California,San Francisco,22,15,76,15,29
California,San Joaquin,51,19,71,26,33
California,San Luis Obispo,22,18,86,15,26
California,San Mateo,23,13,81,9,22
California,Santa Barbara,40,20,81,22,28
California,Santa Clara,27,14,78,13,22
California,Santa Cruz,31,18,77,19,28
California,Shasta,39,18,81,25,34
California,Siskiyou,38,19,88,31,37
California,Solano,33,15,70,18,31
California,Sonoma,26,16,77,15,28
California,Stanislaus,48,20,75,28,31
California,Sutter,46,22,74,24,29
California,Tehama,51,21,76,31,37
California,Trinity,25,19,82,31,45
California,Tulare,69,24,75,34,33
California,Tuolumne,27,17,82,22,26
California,Ventura,36,18,79,15,25
California,Yolo,22,16,76,19,27
California,Yuba,63,19,57,28,33
Colorado,Adams,62,22,63,18,29
Colorado,Alamosa,57,21,73,29,32
Colorado,Arapahoe,39,17,70,15,30
Colorado,Archuleta,35,22,80,23,29
Colorado,Baca,34,25,31,26,17
Colorado,Bent,58,30,75,32,50
Colorado,Boulder,21,14,81,14,23
Colorado,Chaffee,39,21,81,19,24
Colorado,Clear Creek,15,13,82,13,27
Colorado,Conejos,47,22,84,28,23
Colorado,Costilla,63,24,69,37,37
Colorado,Crowley,58,28,71,36,25
Colorado,Delta,53,23,84,23,26
Colorado,Denver,93,22,52,31,37
Colorado,Douglas,11,7,83,4,13
Colorado,Eagle,51,22,81,12,24
Colorado,Elbert,12,13,93,10,14
Colorado,El Paso,43,15,78,18,28
Colorado,Fremont,48,22,74,23,26
Colorado,Garfield,57,23,70,14,23
Colorado,Grand,29,19,88,13,19
Colorado,Gunnison,16,21,86,15,21
Colorado,Huerfano,52,24,75,37,33
Colorado,Jefferson,26,13,78,11,27
Colorado,Kit Carson,44,29,94,20,25
Colorado,Lake,72,27,71,21,32
Colorado,La Plata,22,20,75,14,28
Colorado,Larimer,24,16,82,13,23
Colorado,Las Animas,58,21,64,25,24
Colorado,Lincoln,44,26,66,23,37
Colorado,Logan,45,21,77,20,32
Colorado,Mesa,53,18,70,18,27
Colorado,Moffat,54,20,84,14,30
Colorado,Montezuma,51,23,64,27,32
Colorado,Montrose,56,24,74,23,23
Colorado,Morgan,73,25,70,21,34
Colorado,Otero,75,21,82,30,33
Colorado,Park,12,15,83,14,22
Colorado,Phillips,49,24,87,16,18
Colorado,Pitkin,11,15,95,8,17
Colorado,Prowers,79,25,72,32,32
Colorado,Pueblo,65,18,65,26,39
Colorado,Rio Blanco,38,17,92,11,21
Colorado,Rio Grande,70,22,66,29,33
Colorado,Routt,13,15,89,10,19
Colorado,Saguache,61,35,82,37,33
Colorado,San Miguel,20,23,92,14,28
Colorado,Summit,44,20,82,13,22
Colorado,Teller,24,14,82,14,23
Colorado,Washington,30,22,93,21,25
Colorado,Weld,51,19,71,19,23
Colorado,Yuma,47,25,89,17,16
Connecticut,Fairfield,20,11,82,11,23
Connecticut,Hartford,30,10,75,15,35
Connecticut,Litchfield,14,10,70,8,22
Connecticut,Middlesex,12,8,92,7,24
Connecticut,New Haven,29,10,68,16,34
Connecticut,New London,26,9,78,12,31
Connecticut,Tolland,7,8,79,6,20
Connecticut,Windham,29,11,63,15,32
Delaware,Kent,45,13,82,20,36
Delaware,New Castle,37,11,81,15,34
Delaware,Sussex,65,16,85,24,39
Florida,Alachua,25,20,76,26,39
Florida,Baker,79,23,76,24,27
Florida,Bay,59,23,81,22,35
Florida,Bradford,73,24,64,26,37
Florida,Brevard,35,20,95,20,30
Florida,Broward,31,27,78,20,36
Florida,Calhoun,66,27,88,30,42
Florida,Charlotte,37,23,79,26,35
Florida,Citrus,42,24,83,31,36
Florida,Clay,38,18,78,16,28
Florida,Collier,56,28,79,26,31
Florida,Columbia,67,23,87,30,41
Florida,DeSoto,87,36,61,40,47
Florida,Dixie,71,25,66,37,32
Florida,Duval,54,20,67,24,39
Florida,Escambia,51,22,78,28,43
Florida,Flagler,36,22,84,22,31
Florida,Franklin,86,32,79,35,54
Florida,Gadsden,80,22,58,33,57
Florida,Gilchrist,60,26,92,27,38
Florida,Glades,44,31,64,29,49
Florida,Gulf,39,27,96,27,42
Florida,Hamilton,85,29,63,39,52
Florida,Hardee,99,34,75,41,28
Florida,Hendry,89,37,81,44,42
Florida,Hernando,39,23,79,24,33
Florida,Highlands,64,29,73,33,36
Florida,Hillsborough,50,22,82,23,38
Florida,Holmes,70,26,81,32,35
Florida,Indian River,47,26,82,25,35
Florida,Jackson,58,24,82,27,35
Florida,Jefferson,57,22,51,29,46
Florida,Lafayette,66,36,88,29,24
Florida,Lake,57,24,81,22,30
Florida,Lee,56,26,80,28,33
Florida,Leon,24,17,78,25,41
Florida,Levy,58,26,71,42,37
Florida,Liberty,71,29,75,28,41
Florida,Madison,60,26,65,36,45
Florida,Manatee,64,24,76,23,37
Florida,Marion,57,24,78,31,38
Florida,Martin,38,22,90,17,29
Florida,Miami-Dade,37,34,72,26,39
Florida,Monroe,29,27,85,19,31
Florida,Nassau,50,20,90,18,29
Florida,Okaloosa,47,19,89,20,31
Florida,Okeechobee,88,32,65,33,33
Florida,Orange,47,25,79,23,36
Florida,Osceola,54,27,83,24,37
Florida,Palm Beach,38,26,82,22,36
Florida,Pasco,41,24,82,21,28
Florida,Pinellas,40,22,78,20,39
