State,StateCode,County,CountyCode,BingeDrink,TeenBirths,PrimaryCare,PerHSGrads,PerSingleParentHH,ViolentCrime,UnhealthyFoods,PerFastFood
Alabama,1,Autauga,1.01,16,51,68,85,30,291,21,47
Alabama,1,Baldwin,2.01,20,50,121,73,29,242,1,36
Alabama,1,Barbour,3.01,11,74,57,64,52,190,5,64
Alabama,1,Bibb,4.0100002,13,59,42,67,35,220,35,54
Alabama,1,Blount,5.0100002,5,51,36,75,25,143,29,56
Alabama,1,Bullock,6.0100002,5,90,46,58,64,473,16,67
Alabama,1,Butler,7.0100002,9,66,55,76,50,433,3,47
Alabama,1,Calhoun,8.0100002,13,58,105,72,39,1006,19,59
Alabama,1,Chambers,9.0100002,13,70,67,61,46,540,1,54
Alabama,1,Cherokee,10.01,13,62,45,67,26,156,0,62
Alabama,1,Chilton,11.01,10,61,42,73,30,1017,31,58
Alabama,1,Choctaw,12.01,8,53,64,68,37,104,11,36
Alabama,1,Clarke,13.01,14,46,95,74,40,398,6,64
Alabama,1,Clay,14.01,7,57,65,73,27,297,1,36
Alabama,1,Cleburne,15.01,10,65,14,86,32,285,0,64
Alabama,1,Coffee,16.01,11,51,52,79,37,314,3,53
Alabama,1,Colbert,17.01,8,53,95,69,33,538,23,51
Alabama,1,Conecuh,18.01,6,55,61,70,42,278,14,56
Alabama,1,Coosa,19.01,9,55,19,61,32,239,8,50
Alabama,1,Covington,20.01,12,70,87,72,38,352,2,51
Alabama,1,Cullman,21.01,7,57,77,74,25,191,0,53
Alabama,1,Dale,22.01,17,56,43,69,31,435,1,52
Alabama,1,Dallas,23.01,12,82,155,66,57,967,7,56
Alabama,1,DeKalb,24.01,11,74,45,68,30,206,0,54
Alabama,1,Elmore,25.01,9,51,46,67,29,184,24,46
Alabama,1,Escambia,26.01,6,69,77,72,48,543,3,52
Alabama,1,Etowah,27.01,12,60,101,70,34,356,21,60
Alabama,1,Fayette,28.01,4,53,154,67,29,126,1,71
Alabama,1,Franklin,29.01,7,75,74,70,32,193,1,56
Alabama,1,Geneva,30.01,9,59,46,73,39,307,33,56
Alabama,1,Hale,31.01,8,51,28,74,47,557,41,50
Alabama,1,Henry,32.009998,4,53,24,60,34,347,32,53
Alabama,1,Houston,33.009998,11,59,119,69,40,533,17,53
Alabama,1,Jackson,34.009998,7,55,100,72,29,268,2,51
Alabama,1,Jefferson,35.009998,15,50,180,69,42,797,15,61
Alabama,1,Lauderdale,36.009998,7,41,75,80,29,247,19,50
Alabama,1,Lawrence,37.009998,8,55,53,75,26,223,31,63
Alabama,1,Lee,38.009998,19,29,73,76,34,442,27,53
Alabama,1,Limestone,39.009998,9,55,58,79,26,105,23,56
Alabama,1,Lowndes,40.009998,17,66,8,58,57,401,56,100
Alabama,1,Madison,41.009998,12,37,142,75,32,515,15,57
Alabama,1,Marengo,42.009998,15,52,95,77,42,567,11,57
Alabama,1,Marion,43.009998,4,68,27,83,29,186,1,57
Alabama,1,Marshall,44.009998,13,91,103,71,35,277,0,50
Alabama,1,Mobile,45.009998,14,61,115,65,42,553,17,54
Alabama,1,Monroe,46.009998,12,60,71,64,47,539,14,56
Alabama,1,Montgomery,47.009998,13,58,136,52,49,465,14,55
Alabama,1,Morgan,48.009998,10,57,99,70,31,261,16,64
Alabama,1,Pickens,49.009998,10,45,83,72,47,255,2,50
Alabama,1,Pike,50.009998,9,50,76,63,49,283,2,60
Alabama,1,St. Clair,51.009998,11,55,36,74,26,228,26,50
Alabama,1,Shelby,52.009998,13,26,119,76,19,136,11,49
Alabama,1,Sumter,53.009998,12,44,53,72,68,667,12,58
Alabama,1,Talladega,54.009998,10,63,49,68,36,388,0,52
Alabama,1,Tallapoosa,55.009998,16,62,78,64,36,630,2,52
