lfp,kids5,kids618,wage,wcoll,hcoll,faminc,wifewage
1,0,2,35,1,0,0.00,6.23
1,0,0,46,0,0,1.20,2.70
0,0,0,44,0,0,1.50,3.07
1,0,0,51,0,0,2.13,1.63
1,1,3,33,0,0,2.20,1.67
1,0,0,59,0,0,3.30,2.31
1,0,0,52,0,0,3.67,1.71
0,0,3,53,0,0,3.78,1.11
1,0,2,34,0,0,3.90,2.68
0,1,1,31,0,1,4.00,3.08
0,0,3,31,0,0,4.35,1.97
1,0,1,39,0,0,4.80,2.32
1,0,0,48,0,0,4.81,2.64
1,0,2,34,0,0,5.00,3.47
0,2,3,34,0,0,5.00,2.91
1,0,0,50,0,0,5.12,1.54
1,0,2,35,1,0,5.12,4.98
1,1,2,36,0,0,5.32,1.63
0,0,2,36,0,0,5.33,2.43
1,0,3,38,0,0,5.49,1.86
0,0,5,47,0,0,5.55,3.05
0,1,3,35,0,0,6.00,2.21
0,0,2,36,0,1,6.00,2.52
1,0,1,49,1,0,6.02,5.41
1,0,0,52,0,0,6.25,3.33
1,0,0,56,0,0,6.30,2.38
0,0,0,57,0,0,6.34,0.99
1,0,2,30,0,0,6.35,2.64
1,0,0,54,1,1,6.49,3.04
1,0,1,38,0,0,6.50,3.66
0,0,2,49,0,0,6.53,1.28
1,1,1,34,0,0,6.60,4.48
1,0,0,50,0,0,6.70,3.42
1,0,3,34,0,0,6.80,1.10
0,1,2,32,0,0,6.80,1.83
1,0,4,41,0,0,6.95,11.93
0,0,1,34,0,1,7.04,1.52
0,0,0,47,0,0,7.04,3.38
0,1,4,41,0,0,7.05,3.22
1,0,0,45,0,0,7.14,4.57
1,0,3,35,0,0,7.18,2.94
1,1,5,30,0,0,7.20,2.02
0,0,7,34,0,0,7.23,2.02
0,1,2,32,0,0,7.29,2.18
0,0,4,42,0,0,7.50,1.74
0,0,3,38,0,0,7.57,1.71
0,0,0,51,0,0,7.61,2.79
0,0,0,56,1,0,7.70,4.21
0,1,1,31,0,0,7.72,1.91
1,0,2,40,0,0,7.79,2.54
1,0,0,46,1,0,7.79,2.11
1,0,1,31,0,0,7.80,2.81
1,0,0,34,0,0,7.80,2.90
0,2,6,39,0,0,7.84,2.66
1,0,2,41,0,0,7.90,2.85
